snapshot_id,snapshot_date_utc,season,model,band_high_n,band_medium_n,band_low_n,elite_top_n,elite_show_n,elite_rank_overall,elite_prospect_id,elite_full_name,elite_position,elite_school,elite_confidence_score,elite_confidence_band,elite_sources_present,elite_active_sources,elite_coverage_pct
3,2026-03-01,2026,v1_default,4,83,715,100,25,80,11,Francis Mauigoa,OL,Miami FL,17.3,Low,3,11,0.2727272727272727
3,2026-03-01,2026,v1_default,4,83,715,100,25,75,2,Rueben Bain,EDGE,Miami FL,17.5,Low,3,11,0.2727272727272727
3,2026-03-01,2026,v1_default,4,83,715,100,25,91,70,Anthony Lucas,EDGE,USC,22.3,Low,6,11,0.5454545454545454
3,2026-03-01,2026,v1_default,4,83,715,100,25,100,147,Jude Bowry,OL,Boston College,30.3,Low,6,11,0.5454545454545454
3,2026-03-01,2026,v1_default,4,83,715,100,25,84,154,Ja'Kobi Lane,WR,USC,32.6,Low,7,11,0.6363636363636364
3,2026-03-01,2026,v1_default,4,83,715,100,25,89,145,Kevin Coleman,WR,Missouri,33.2,Low,7,11,0.6363636363636364
3,2026-03-01,2026,v1_default,4,83,715,100,25,97,73,Daylen Everette,CB,Georgia,33.6,Low,7,11,0.6363636363636364
3,2026-03-01,2026,v1_default,4,83,715,100,25,82,142,Julian Neal,CB,Arkansas,35.3,Low,7,11,0.6363636363636364
3,2026-03-01,2026,v1_default,4,83,715,100,25,90,103,Treydan Stukes,CB,Arizona,35.6,Low,7,11,0.6363636363636364
3,2026-03-01,2026,v1_default,4,83,715,100,25,99,471,Gracen Halton,DT,Oklahoma,35.6,Low,7,11,0.6363636363636364
3,2026-03-01,2026,v1_default,4,83,715,100,25,96,90,Deion Burks,WR,Oklahoma,36.2,Low,8,11,0.7272727272727273
3,2026-03-01,2026,v1_default,4,83,715,100,25,76,49,LT Overton,EDGE,Alabama,36.8,Low,8,11,0.7272727272727273
3,2026-03-01,2026,v1_default,4,83,715,100,25,69,64,Kamari Ramsey,S,USC,36.9,Low,7,11,0.6363636363636364
3,2026-03-01,2026,v1_default,4,83,715,100,25,74,99,Genesis Smith,S,Arizona,37.9,Low,7,11,0.6363636363636364
3,2026-03-01,2026,v1_default,4,83,715,100,25,83,78,Jonah Coleman,RB,Washington,38.0,Low,7,11,0.6363636363636364
3,2026-03-01,2026,v1_default,4,83,715,100,25,70,84,Deontae Lawson,LB,Alabama,38.1,Low,8,11,0.7272727272727273
3,2026-03-01,2026,v1_default,4,83,715,100,25,95,72,Jack Endries,TE,Texas,38.1,Low,7,11,0.6363636363636364
3,2026-03-01,2026,v1_default,4,83,715,100,25,98,116,Brian Parker,OL,Duke,38.2,Low,7,11,0.6363636363636364
3,2026-03-01,2026,v1_default,4,83,715,100,25,78,94,Keylan Rutledge,OL,Georgia Tech,38.3,Low,7,11,0.6363636363636364
3,2026-03-01,2026,v1_default,4,83,715,100,25,61,65,Connor Lew,OL,Auburn,40.2,Medium,7,11,0.6363636363636364
3,2026-03-01,2026,v1_default,4,83,715,100,25,79,43,A.j.haulcy,S,LSU,40.2,Medium,7,11,0.6363636363636364
3,2026-03-01,2026,v1_default,4,83,715,100,25,86,129,Isaiah World,OL,Oregon,41.0,Medium,8,11,0.7272727272727273
3,2026-03-01,2026,v1_default,4,83,715,100,25,32,22,Olaivavega Ioane,OL,Penn State,41.1,Medium,7,11,0.6363636363636364
3,2026-03-01,2026,v1_default,4,83,715,100,25,51,63,Joshua Josephs,EDGE,Tennessee,41.5,Medium,8,11,0.7272727272727273
3,2026-03-01,2026,v1_default,4,83,715,100,25,81,77,Jake Slaughter,OL,Florida,41.6,Medium,8,11,0.7272727272727273
